date,motelId,LoSa,price
23-26-08-2015,0000009,US,2.08
17-23-08-2015,0000005,MX,0.66
20-18-05-2016,0000009,MX,1.21
05-07-05-2016,0000006,CA,0.89
17-06-05-2016,0000001,US,1.00
20-13-08-2015,0000003,CA,0.00
15-10-03-2016,0000004,MX,0.88
22-02-03-2016,0000005,US,0.82
15-02-03-2016,0000006,US,0.87
13-26-02-2016,0000003,US,0.69
13-06-11-2015,0000001,CA,0.47
18-22-02-2016,0000009,US,1.76
03-17-02-2016,0000008,US,1.19
15-15-02-2016,0000003,CA,0.53
01-07-02-2016,0000005,CA,1.98
01-05-11-2015,0000003,MX,0.99
20-02-02-2016,0000002,MX,1.34
19-28-07-2016,0000004,CA,1.85
18-24-07-2016,0000010,US,1.46
05-20-04-2016,0000008,CA,0.36
11-20-07-2016,0000003,US,1.51
07-31-01-2016,0000003,CA,0.86
13-30-01-2016,0000010,US,1.86
08-28-01-2016,0000005,CA,0.00
11-23-01-2016,0000005,US,0.34
11-22-01-2016,0000003,MX,1.12
04-22-01-2016,0000010,MX,1.70
22-10-07-2016,0000006,CA,1.55
00-26-10-2015,0000001,CA,0.00
10-07-07-2016,0000006,US,1.92
19-23-10-2015,0000003,MX,0.86
10-29-06-2016,0000003,CA,0.88
03-17-01-2016,0000003,US,1.72
07-12-04-2016,0000002,CA,1.96
20-18-10-2015,0000009,CA,1.42
20-12-01-2016,0000002,CA,0.00
17-14-10-2015,0000002,CA,1.85
20-03-04-2016,0000005,CA,0.84
18-26-03-2016,0000010,CA,0.82
19-25-03-2016,0000009,US,1.07
14-25-03-2016,0000002,US,0.49
08-23-06-2016,0000003,MX,0.83
19-22-06-2016,0000008,CA,1.54
03-21-06-2016,0000009,US,2.07
19-19-06-2016,0000004,MX,0.00
09-05-01-2016,0000008,US,0.76
09-08-10-2015,0000006,US,1.31
05-03-01-2016,0000009,CA,0.00
03-09-06-2016,0000004,US,0.60
13-04-06-2016,0000009,MX,1.99
02-30-05-2016,0000010,CA,1.74
08-29-05-2016,0000007,MX,1.78
01-29-05-2016,0000007,US,0.00
16-13-09-2015,0000002,MX,1.64
08-10-09-2015,0000002,MX,0.35
01-10-09-2015,0000010,MX,1.54
18-06-09-2015,0000005,MX,1.38
06-22-03-2016,0000010,CA,0.90
22-21-03-2016,0000010,CA,1.38
00-21-12-2015,0000006,CA,1.32
09-08-12-2015,0000006,MX,1.97
01-29-11-2015,0000005,CA,0.53
22-28-11-2015,0000009,US,0.90
20-24-11-2015,0000008,US,0.37
17-24-11-2015,0000006,US,0.41
17-24-11-2015,0000006,MX,0.80
13-19-11-2015,0000002,US,0.82
10-01-09-2015,0000001,CA,0.69
00-01-09-2015,0000005,MX,2.03
19-14-11-2015,0000009,MX,0.79
10-10-05-2016,0000009,MX,1.06
19-21-08-2015,0000003,US,0.53
09-19-08-2015,0000005,CA,1.34
14-09-08-2015,0000009,US,1.02
18-09-03-2016,0000004,CA,1.38
02-01-03-2016,0000010,CA,0.61
08-09-11-2015,0000007,US,1.13
20-07-11-2015,0000005,US,0.33
17-26-02-2016,0000008,CA,1.25
15-06-11-2015,0000002,US,0.47
18-24-02-2016,0000009,US,0.93
21-21-02-2016,0000007,CA,2.03
03-13-02-2016,0000004,CA,2.05
02-08-02-2016,0000009,US,1.18
20-07-02-2016,0000006,CA,1.87
08-07-02-2016,0000003,US,0.00
09-06-05-2016,0000004,CA,2.08
16-05-05-2016,0000003,MX,0.75
10-02-08-2016,0000003,MX,1.89
13-01-08-2016,0000005,MX,0.47
06-30-04-2016,0000001,CA,1.25
16-29-04-2016,0000008,MX,1.67
15-27-04-2016,0000004,MX,0.87
23-28-07-2016,0000004,MX,1.03
10-23-04-2016,0000007,US,1.50
03-16-07-2016,0000001,MX,1.12
08-12-07-2016,0000007,CA,2.00
02-12-07-2016,0000005,CA,1.18
19-26-10-2015,0000006,US,1.06
09-06-07-2016,0000001,CA,1.86
17-17-01-2016,0000001,US,0.69
18-13-04-2016,0000010,MX,1.34
17-12-04-2016,0000005,US,1.23
15-09-04-2016,0000008,MX,0.98
19-14-01-2016,0000008,MX,1.52
11-14-01-2016,0000006,US,1.71
20-12-01-2016,0000002,MX,0.74
08-16-10-2015,0000006,US,0.94
12-12-10-2015,0000002,US,1.93
18-04-04-2016,0000005,US,1.96
11-04-04-2016,0000007,CA,0.62
22-30-03-2016,0000008,MX,0.00
06-10-10-2015,0000002,MX,1.77
03-25-03-2016,0000010,US,0.00
06-28-06-2016,0000009,CA,1.41
20-23-06-2016,0000005,CA,1.69
12-17-06-2016,0000010,US,0.67
17-04-01-2016,0000001,US,1.73
23-31-12-2015,0000008,MX,0.47
17-12-06-2016,0000008,US,0.64
08-29-12-2015,0000009,US,0.00
07-01-10-2015,0000002,MX,1.59
16-25-09-2015,0000002,CA,1.48
07-25-09-2015,0000002,MX,1.51
09-03-06-2016,0000002,US,0.00
05-30-05-2016,0000006,US,0.97
14-25-05-2016,0000003,MX,2.07
20-19-09-2015,0000005,CA,1.71
10-13-09-2015,0000001,CA,0.76
03-24-03-2016,0000010,CA,1.24
00-23-12-2015,0000007,CA,1.47
23-18-03-2016,0000005,MX,0.83
05-17-03-2016,0000004,US,1.89
17-14-03-2016,0000006,MX,0.79
16-16-12-2015,0000001,MX,1.44
23-14-12-2015,0000002,MX,1.96
15-05-12-2015,0000008,CA,0.68
05-02-12-2015,0000004,US,1.19
20-24-11-2015,0000008,MX,0.00
08-22-11-2015,0000004,MX,1.48
21-17-11-2015,0000009,MX,1.35
04-15-05-2016,0000008,US,2.08
07-23-08-2015,0000008,CA,1.06
18-20-08-2015,0000002,MX,1.33
05-15-08-2015,0000001,MX,0.62
13-10-08-2015,0000005,CA,1.27
08-10-08-2015,0000001,US,1.11
18-07-03-2016,0000001,CA,0.90
06-06-03-2016,0000006,MX,1.33
07-05-03-2016,0000008,MX,1.64
05-26-02-2016,0000006,MX,0.50
00-25-02-2016,0000006,CA,1.23
06-19-02-2016,0000005,MX,0.59
01-13-02-2016,0000008,CA,0.33
07-04-08-2016,0000004,US,1.70
15-30-07-2016,0000002,US,0.00
13-30-07-2016,0000004,CA,1.70
23-29-07-2016,0000010,MX,0.30
18-25-04-2016,0000006,CA,0.00
10-24-07-2016,0000002,US,0.63
06-24-07-2016,0000007,US,1.64
03-23-07-2016,0000004,MX,0.00
17-20-07-2016,0000001,MX,0.00
21-30-01-2016,0000009,US,0.33
10-30-01-2016,0000007,US,2.06
15-27-01-2016,0000003,CA,1.47
02-26-01-2016,0000007,CA,0.00
23-25-01-2016,0000006,MX,1.96
16-21-01-2016,0000008,US,0.72
09-21-01-2016,0000002,US,1.67
16-28-10-2015,0000009,MX,1.41
20-05-07-2016,0000001,CA,2.05
23-22-10-2015,0000008,CA,0.00
17-16-04-2016,0000008,MX,2.01
03-18-01-2016,0000006,US,1.48
00-15-04-2016,0000001,US,0.74
07-20-10-2015,0000004,MX,1.85
03-19-10-2015,0000007,MX,0.56
17-18-10-2015,0000007,MX,1.57
05-08-04-2016,0000006,CA,0.95
03-18-10-2015,0000002,US,0.70
01-11-01-2016,0000005,CA,0.36
12-10-01-2016,0000010,US,0.95
14-31-03-2016,0000003,CA,0.00
22-07-01-2016,0000009,CA,0.85
12-30-03-2016,0000003,CA,0.86
23-25-03-2016,0000005,CA,2.08
20-23-06-2016,0000005,MX,1.93
15-06-01-2016,0000004,MX,1.65
10-16-06-2016,0000008,MX,0.30
23-31-12-2015,0000008,CA,0.00
13-03-10-2015,0000005,US,1.91
11-03-10-2015,0000006,MX,1.22
12-28-12-2015,0000009,US,1.31
12-26-09-2015,0000005,US,0.41
07-12-06-2016,0000010,US,0.47
02-10-06-2016,0000004,CA,0.57
02-27-05-2016,0000002,CA,0.65
18-19-09-2015,0000008,CA,0.33
01-18-09-2015,0000010,MX,0.50
10-14-09-2015,0000009,MX,1.27
12-07-09-2015,0000006,US,0.00
10-23-03-2016,0000007,CA,0.32
08-20-03-2016,0000004,US,1.52
20-19-03-2016,0000010,US,0.53
13-14-03-2016,0000002,US,1.05
08-02-12-2015,0000006,CA,0.76
13-28-11-2015,0000008,MX,1.45
18-25-08-2015,0000004,US,0.00
13-12-05-2016,0000001,MX,0.42
02-09-05-2016,0000004,MX,1.09
00-09-08-2015,0000008,US,1.45
13-10-03-2016,0000008,US,1.05
12-09-03-2016,0000010,CA,1.84
11-07-03-2016,0000006,MX,0.62
04-06-03-2016,0000009,CA,1.44
01-06-03-2016,0000010,CA,0.81
10-11-11-2015,0000001,MX,1.88
15-06-11-2015,0000002,MX,0.80
18-20-02-2016,0000010,CA,1.71
04-16-02-2016,0000006,CA,1.44
15-03-02-2016,0000009,MX,0.40
04-02-05-2016,0000008,US,0.52
20-30-04-2016,0000010,CA,1.93
21-29-07-2016,0000003,CA,0.97
01-27-07-2016,0000006,CA,1.98
14-15-07-2016,0000002,MX,1.91
22-18-04-2016,0000005,MX,0.57
13-28-10-2015,0000008,CA,1.23
02-17-04-2016,0000009,CA,0.39
19-16-04-2016,0000002,US,1.59
17-16-04-2016,0000008,US,1.96
16-20-10-2015,0000005,CA,1.07
04-16-04-2016,0000002,US,1.68
16-13-04-2016,0000003,US,1.91
07-11-01-2016,0000002,US,1.63
04-05-04-2016,0000007,US,0.44
12-07-01-2016,0000008,US,0.79
00-29-03-2016,0000003,MX,0.57
03-25-03-2016,0000010,MX,1.36
23-25-06-2016,0000004,MX,0.61
10-19-06-2016,0000005,CA,0.95
06-09-10-2015,0000010,US,0.40
21-04-01-2016,0000004,CA,2.01
16-03-01-2016,0000007,US,0.61
18-13-06-2016,0000007,US,1.05
21-03-10-2015,0000005,US,0.54
11-30-12-2015,0000009,CA,0.00
12-24-05-2016,0000010,US,0.57
17-22-09-2015,0000001,MX,0.80
02-19-09-2015,0000010,CA,0.31
19-12-09-2015,0000006,US,1.98
08-09-09-2015,0000010,CA,2.08
07-15-03-2016,0000006,MX,1.08
09-24-05-2016,0000009,US,1.62
21-19-12-2015,0000006,MX,0.43
10-09-12-2015,0000006,US,0.00
20-02-12-2015,0000002,CA,1.92
19-01-12-2015,0000007,US,1.51
05-29-11-2015,0000002,US,1.82
23-23-11-2015,0000008,US,1.50
08-20-11-2015,0000001,US,0.55
00-16-11-2015,0000006,CA,0.30
03-15-11-2015,0000001,CA,0.00
11-28-08-2015,0000009,US,1.06
08-26-08-2015,0000009,US,0.00
14-19-05-2016,0000008,US,0.87
21-14-05-2016,0000008,US,0.79
03-09-05-2016,0000007,US,2.01
11-18-08-2015,0000009,US,0.34
05-15-08-2015,0000001,CA,1.36
16-14-08-2015,0000009,CA,1.46
03-12-08-2015,0000001,MX,0.00
03-29-02-2016,0000004,CA,1.31
20-07-11-2015,0000004,CA,0.63
03-07-02-2016,0000005,MX,0.00
04-06-11-2015,0000010,MX,1.36
18-02-08-2016,0000003,CA,0.45
19-03-05-2016,0000006,MX,1.77
03-02-05-2016,0000006,US,1.33
02-29-07-2016,0000001,US,0.82
05-23-04-2016,0000006,US,1.89
16-25-07-2016,0000010,MX,0.97
12-17-07-2016,0000001,MX,1.13
07-29-01-2016,0000007,US,1.09
06-27-01-2016,0000004,CA,0.69
19-24-01-2016,0000001,US,0.76
17-22-10-2015,0000002,US,0.83
12-19-01-2016,0000010,MX,1.79
13-30-06-2016,0000010,MX,1.19
21-15-04-2016,0000006,US,0.81
02-11-04-2016,0000003,US,1.07
20-06-04-2016,0000001,US,0.77
22-10-01-2016,0000005,US,0.40
12-10-01-2016,0000010,MX,0.00
19-02-04-2016,0000008,MX,1.39
02-12-10-2015,0000005,CA,0.43
10-28-03-2016,0000009,MX,1.21
20-22-06-2016,0000003,MX,1.01
05-18-06-2016,0000004,CA,1.63
17-12-06-2016,0000008,CA,0.57
04-03-10-2015,0000002,CA,0.76
18-27-12-2015,0000004,US,1.91
06-24-12-2015,0000001,CA,0.63
15-10-06-2016,0000003,CA,1.53
16-24-05-2016,0000005,CA,1.90
03-18-09-2015,0000005,US,1.50
00-09-09-2015,0000001,MX,1.02
18-08-09-2015,0000002,CA,1.92
11-08-09-2015,0000003,US,1.99
11-23-03-2016,0000003,CA,0.37
19-14-03-2016,0000001,CA,0.82
19-20-12-2015,0000007,CA,1.01
14-20-12-2015,0000006,CA,1.20
18-19-12-2015,0000008,US,1.90
10-17-12-2015,0000001,MX,0.81
21-15-12-2015,0000004,CA,1.68
02-06-12-2015,0000004,MX,1.14
15-21-11-2015,0000008,US,2.07
01-17-05-2016,0000005,MX,1.27
15-09-05-2016,0000004,US,1.76
20-08-05-2016,0000002,CA,1.56
09-08-05-2016,0000008,US,1.52
19-20-08-2015,0000003,MX,0.00
06-08-08-2015,0000003,MX,0.84
07-09-03-2016,0000005,MX,2.01
01-06-03-2016,0000010,US,0.00
01-06-03-2016,0000010,MX,0.00
06-28-02-2016,0000009,US,1.23
18-27-02-2016,0000001,CA,1.48
17-26-02-2016,0000002,MX,1.79
13-26-02-2016,0000005,US,2.04
02-07-11-2015,0000006,CA,1.59
02-25-02-2016,0000001,MX,0.64
07-19-02-2016,0000004,MX,0.00
08-13-02-2016,0000009,MX,1.47
02-07-02-2016,0000010,US,1.69
15-04-08-2016,0000004,CA,1.08
08-06-05-2016,0000008,US,1.47
08-04-05-2016,0000010,MX,2.06
14-03-05-2016,0000005,MX,0.41
09-02-11-2015,0000003,MX,0.31
03-02-11-2015,0000010,US,1.40
20-28-04-2016,0000001,MX,2.04
13-30-07-2016,0000003,US,0.95
06-27-07-2016,0000001,US,1.67
05-23-04-2016,0000006,MX,1.07
05-26-07-2016,0000008,CA,0.78
01-25-07-2016,0000001,CA,0.00
19-24-07-2016,0000005,US,1.04
15-23-07-2016,0000007,US,0.63
14-23-07-2016,0000004,CA,0.81
18-20-07-2016,0000004,CA,1.70
01-30-01-2016,0000005,CA,1.65
22-14-07-2016,0000005,CA,1.31
10-14-07-2016,0000005,CA,1.05
08-12-07-2016,0000007,US,0.69
08-28-10-2015,0000010,US,1.23
12-26-10-2015,0000007,CA,1.47
13-07-07-2016,0000010,US,1.59
08-07-07-2016,0000007,CA,1.35
22-29-06-2016,0000006,MX,0.00
05-11-04-2016,0000005,US,1.59
02-11-04-2016,0000003,CA,1.87
20-18-10-2015,0000009,US,0.00
14-18-10-2015,0000002,MX,2.02
22-14-10-2015,0000001,CA,0.37
11-13-10-2015,0000001,US,1.12
00-12-10-2015,0000010,MX,0.00
02-02-04-2016,0000010,US,1.14
07-01-04-2016,0000010,CA,1.59
05-01-04-2016,0000008,US,1.30
01-01-04-2016,0000006,CA,0.61
16-09-10-2015,0000009,MX,1.71
07-30-03-2016,0000003,MX,0.00
23-28-03-2016,0000002,US,1.71
20-26-03-2016,0000007,MX,1.27
06-25-03-2016,0000003,US,1.58
04-27-06-2016,0000006,CA,1.59
09-19-06-2016,0000001,US,1.78
06-09-10-2015,0000010,MX,1.07
04-08-10-2015,0000002,US,1.42
23-04-01-2016,0000001,US,2.07
01-15-06-2016,0000009,US,0.00
07-05-10-2015,0000003,MX,0.46
00-12-06-2016,0000010,MX,0.00
05-30-05-2016,0000004,CA,1.44
13-27-05-2016,0000005,MX,0.54
21-19-09-2015,0000006,CA,1.32
11-17-09-2015,0000003,MX,1.25
12-12-09-2015,0000002,CA,0.00
16-06-09-2015,0000001,US,1.91
07-13-03-2016,0000007,US,1.18
11-10-12-2015,0000010,CA,0.76
08-09-12-2015,0000002,MX,0.61
08-29-11-2015,0000006,US,0.68
05-20-11-2015,0000009,US,1.54
21-31-08-2015,0000006,CA,1.15
06-17-11-2015,0000009,MX,0.33
19-16-11-2015,0000007,US,0.48
18-28-08-2015,0000003,US,1.87
10-22-05-2016,0000010,MX,0.69
11-17-05-2016,0000005,US,1.01
08-16-05-2016,0000008,CA,0.00
07-21-08-2015,0000009,CA,1.85
05-13-08-2015,0000003,US,1.99
16-10-03-2016,0000003,CA,0.34
06-09-03-2016,0000002,US,1.17
02-01-03-2016,0000004,CA,1.39
03-08-11-2015,0000002,MX,1.84
18-20-02-2016,0000003,MX,0.59
01-18-02-2016,0000009,MX,0.43
15-14-02-2016,0000005,CA,0.51
09-06-11-2015,0000007,MX,0.82
17-05-11-2015,0000010,CA,2.03
07-03-08-2016,0000005,CA,0.00
21-29-04-2016,0000006,MX,1.84
17-29-04-2016,0000007,MX,0.00
12-23-04-2016,0000004,CA,2.03
09-22-04-2016,0000005,CA,1.85
14-21-04-2016,0000009,MX,1.85
17-20-04-2016,0000004,MX,2.03
10-20-07-2016,0000010,US,1.59
23-19-07-2016,0000009,MX,1.68
04-01-11-2015,0000006,MX,0.00
07-30-10-2015,0000005,US,0.69
15-26-10-2015,0000010,CA,2.08
17-05-07-2016,0000007,CA,0.00
11-24-10-2015,0000007,CA,0.30
02-02-07-2016,0000002,CA,0.82
10-01-07-2016,0000002,US,0.98
07-16-04-2016,0000002,CA,1.42
03-16-04-2016,0000010,CA,1.44
17-12-04-2016,0000005,CA,0.79
07-09-04-2016,0000009,CA,1.56
00-17-10-2015,0000004,MX,1.71
19-14-10-2015,0000008,CA,0.00
18-05-04-2016,0000006,MX,1.67
14-05-04-2016,0000005,US,1.84
15-31-03-2016,0000002,CA,1.22
12-24-03-2016,0000008,CA,0.31
18-27-06-2016,0000006,MX,0.65
06-27-06-2016,0000007,CA,1.76
14-08-10-2015,0000007,MX,1.28
23-04-01-2016,0000002,US,1.05
08-03-10-2015,0000009,CA,1.84
00-29-09-2015,0000003,US,0.87
21-27-09-2015,0000004,US,2.04
18-08-06-2016,0000004,MX,1.35
16-07-06-2016,0000003,MX,0.00
08-27-05-2016,0000005,CA,1.58
16-22-09-2015,0000008,US,2.04
08-20-09-2015,0000005,CA,1.93
05-18-09-2015,0000010,MX,1.63
04-11-09-2015,0000005,MX,0.92
19-03-09-2015,0000007,MX,2.04
06-23-03-2016,0000006,US,0.36
